step,ort_ref_loss,gvsoc_loss,abs_diff
290,0.011997,0.011997,0.0
291,0.576161,0.576162,1e-06
292,0.00965,0.00965,0.0
293,0.061144,0.061144,0.0
294,0.198237,0.198237,0.0
295,0.063608,0.063608,0.0
296,0.001994,0.001994,0.0
297,0.197392,0.197392,0.0
298,0.296069,0.296069,0.0
299,0.027849,0.027849,0.0
300,0.141287,0.141287,0.0
301,0.016477,0.016477,0.0
302,0.065754,0.065754,0.0
303,0.024864,0.024864,0.0
304,0.019722,0.019722,0.0
305,0.064517,0.064517,0.0
306,2.037547,2.037548,1e-06
307,0.014643,0.014643,0.0
308,0.592278,0.592278,0.0
309,0.015889,0.015889,0.0
310,0.070687,0.070687,0.0
311,0.022401,0.022401,0.0
312,0.805386,0.805386,0.0
313,0.013468,0.013468,0.0
314,0.185444,0.185444,0.0
315,0.000823,0.000823,0.0
316,2.963955,2.963957,2e-06
317,0.003118,0.003119,1e-06
318,0.000131,0.000132,1e-06
319,0.917172,0.917172,0.0
320,0.004558,0.004558,0.0
321,0.002086,0.002086,0.0
322,0.651325,0.651325,0.0
323,0.641772,0.641771,1e-06
324,0.313752,0.313753,1e-06
325,1.187338,1.187338,0.0
326,0.014402,0.014402,0.0
327,1.365788,1.365789,1e-06
328,0.031172,0.031172,0.0
329,0.001919,0.001919,0.0
330,0.001277,0.001277,0.0
331,0.255163,0.255163,0.0
332,0.000844,0.000844,0.0
333,0.011043,0.011043,0.0
334,0.810143,0.810143,0.0
335,0.00486,0.00486,0.0
336,0.286716,0.286716,0.0
337,0.033823,0.033823,0.0
338,0.029114,0.029114,0.0
339,0.0069,0.0069,0.0
340,0.000351,0.000351,0.0
341,0.015664,0.015664,0.0
342,0.021645,0.021645,0.0
343,0.012879,0.012879,0.0
344,0.011919,0.011919,0.0
345,0.494551,0.494551,0.0
346,0.009982,0.009982,0.0
347,0.056938,0.056938,0.0
348,0.171536,0.171535,1e-06
349,0.060115,0.060115,0.0
350,0.002078,0.002078,0.0
351,0.168758,0.168758,0.0
352,0.255958,0.255958,0.0
353,0.024518,0.024518,0.0
354,0.14389,0.14389,0.0
355,0.015471,0.015471,0.0
356,0.06019,0.06019,0.0
357,0.024435,0.024435,0.0
358,0.016681,0.016681,0.0
359,0.063928,0.063928,0.0
360,1.912816,1.912817,1e-06
361,0.014568,0.014567,1e-06
362,0.611827,0.611826,1e-06
363,0.015449,0.015449,0.0
364,0.08038,0.08038,0.0
365,0.02353,0.02353,0.0
366,0.805207,0.805207,0.0
367,0.01337,0.01337,0.0
368,0.199404,0.199404,0.0
369,0.000979,0.000979,0.0
370,2.723494,2.723495,1e-06
371,0.003239,0.00324,1e-06
372,0.000157,0.000156,1e-06
373,0.70246,0.702459,1e-06
374,0.00459,0.00459,0.0
375,0.002143,0.002143,0.0
376,0.597106,0.597106,0.0
377,0.636203,0.636202,1e-06
378,0.308906,0.308906,0.0
379,1.112505,1.112506,1e-06
380,0.014734,0.014734,0.0
381,1.287615,1.287616,1e-06
382,0.030259,0.030259,0.0
383,0.001447,0.001447,0.0
384,0.001449,0.001449,0.0
385,0.254768,0.254768,0.0
386,0.000874,0.000874,0.0
387,0.013461,0.013461,0.0
388,0.763135,0.763135,0.0
389,0.004393,0.004393,0.0
390,0.257708,0.257708,0.0
391,0.03458,0.03458,0.0
392,0.030395,0.030395,0.0
393,0.008271,0.008271,0.0
394,0.00036,0.00036,0.0
395,0.015528,0.015528,0.0
396,0.02163,0.02163,0.0
397,0.014663,0.014663,0.0
398,0.011723,0.011723,0.0
399,0.440687,0.440687,0.0
400,0.007441,0.007441,0.0
401,0.053776,0.053775,1e-06
402,0.151375,0.151375,0.0
403,0.057587,0.057586,1e-06
404,0.002136,0.002136,0.0
405,0.149602,0.149602,0.0
406,0.250351,0.250351,0.0
407,0.021719,0.021719,0.0
408,0.125967,0.125967,0.0
409,0.014379,0.014379,0.0
410,0.055599,0.055599,0.0
411,0.024043,0.024043,0.0
412,0.014572,0.014572,0.0
413,0.062516,0.062517,1e-06
414,1.824687,1.824687,0.0
415,0.014309,0.014309,0.0
416,0.584234,0.584234,0.0
417,0.015561,0.015562,1e-06
418,0.091498,0.091498,0.0
419,0.023036,0.023036,0.0
420,0.80454,0.804541,1e-06
421,0.01313,0.01313,0.0
422,0.201509,0.201509,0.0
423,0.001114,0.001114,0.0
424,2.557606,2.557607,1e-06
425,0.00333,0.00333,0.0
426,0.000105,0.000105,0.0
427,0.723887,0.723887,0.0
428,0.004722,0.004723,1e-06
429,0.002188,0.002188,0.0
430,0.554726,0.554727,1e-06
431,0.627718,0.627717,1e-06
432,0.345346,0.345346,0.0
433,1.096314,1.096315,1e-06
434,0.01397,0.01397,0.0
435,1.267195,1.267195,0.0
436,0.031185,0.031185,0.0
437,0.002106,0.002107,1e-06
438,0.001624,0.001624,0.0
439,0.248121,0.248121,0.0
440,0.000895,0.000896,1e-06
441,0.015454,0.015454,0.0
442,0.723658,0.723658,0.0
443,0.004024,0.004025,1e-06
444,0.235501,0.235501,0.0
445,0.035143,0.035143,0.0
446,0.031988,0.031988,0.0
447,0.009145,0.009145,0.0
448,0.000361,0.00036,1e-06
449,0.015243,0.015244,1e-06
450,0.021803,0.021803,0.0
451,0.016427,0.016427,0.0
452,0.011464,0.011464,0.0
453,0.404453,0.404454,1e-06
454,0.008033,0.008034,1e-06
455,0.052639,0.052639,0.0
456,0.136995,0.136995,0.0
457,0.054974,0.054974,0.0
458,0.002188,0.002188,0.0
459,0.132414,0.132413,1e-06
460,0.224918,0.224918,0.0
461,0.019436,0.019436,0.0
462,0.129858,0.129858,0.0
463,0.013415,0.013415,0.0
464,0.051502,0.051503,1e-06
465,0.023836,0.023836,0.0
466,0.013261,0.013261,0.0
467,0.062531,0.062532,1e-06
468,1.750993,1.750993,0.0
469,0.014024,0.014024,0.0
470,0.607238,0.607238,0.0
471,0.014903,0.014903,0.0
472,0.101681,0.101681,0.0
473,0.023805,0.023805,0.0
474,0.796463,0.796463,0.0
475,0.012839,0.012839,0.0
476,0.219501,0.219501,0.0
477,0.001285,0.001285,0.0
478,2.346299,2.3463,1e-06
479,0.003424,0.003424,0.0
480,0.000137,0.000136,1e-06
481,0.569588,0.569587,1e-06
482,0.004712,0.004712,0.0
483,0.002229,0.002229,0.0
484,0.522042,0.522042,0.0
485,0.629331,0.62933,1e-06
486,0.333739,0.333739,0.0
487,1.047698,1.047699,1e-06
488,0.014092,0.014092,0.0
489,1.188111,1.188112,1e-06
490,0.030646,0.030646,0.0
491,0.001614,0.001614,0.0
492,0.001789,0.001789,0.0
493,0.245392,0.245392,0.0
494,0.000912,0.000913,1e-06
495,0.018021,0.018021,0.0
496,0.684377,0.684377,0.0
497,0.003699,0.003699,0.0
498,0.217218,0.217218,0.0
499,0.035727,0.035727,0.0
500,0.032771,0.032771,0.0
501,0.010435,0.010436,1e-06
502,0.000359,0.000359,0.0
503,0.0149,0.014901,1e-06
504,0.021882,0.021882,0.0
505,0.01822,0.01822,0.0
506,0.011155,0.011155,0.0
507,0.378261,0.378261,0.0
508,0.006437,0.006437,0.0
509,0.051687,0.051687,0.0
510,0.125326,0.125326,0.0
